Description,Currency,Container_type,Container_size,Unit,Rate/unit
THC,INR,standard,20,PER_KM_PER_CONTAINER,40.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,80.0
BAS,INR,standard,20,PER_CONTAINER,60.0
BAS,INR,standard,20,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,60.0
DDF,INR,standard,40,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,80.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,0.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,60.0
BAS,INR,standard,40,PER_CONTAINER,80.0
BAS,INR,standard,40,PER_CONTAINER,60.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,80.0
DDF,INR,standard,40HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,80.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,40.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,80.0
BAS,INR,standard,40HC,PER_CONTAINER,40.0
BAS,INR,standard,40HC,PER_CONTAINER,80.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,40.0
DDF,INR,standard,45HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,80.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,2000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,40.0
BAS,INR,standard,45HC,PER_CONTAINER,40.0
BAS,INR,standard,45HC,PER_CONTAINER,40.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
DHC,INR,standard,20,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,0.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,36.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,0.0
CFD,INR,standard,20,PER_CONTAINER,40.0
CFD,INR,standard,20,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,40.0
DHC,INR,standard,40,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,0.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,0.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,40.0
CFD,INR,standard,40,PER_CONTAINER,0.0
CFD,INR,standard,40,PER_CONTAINER,40.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
DHC,INR,standard,40HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,0.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,36.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,0.0
CFD,INR,standard,40HC,PER_CONTAINER,36.0
CFD,INR,standard,40HC,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,36.0
DHC,INR,standard,45HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,0.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,2000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,36.0
CFD,INR,standard,45HC,PER_CONTAINER,36.0
CFD,INR,standard,45HC,PER_CONTAINER,36.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
IMP,INR,standard,20,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,0.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,34.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,0.0
DDF,INR,standard,20,PER_CONTAINER,36.0
DDF,INR,standard,20,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,36.0
IMP,INR,standard,40,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,0.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,0.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,36.0
DDF,INR,standard,40,PER_CONTAINER,0.0
DDF,INR,standard,40,PER_CONTAINER,36.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
IMP,INR,standard,40HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,0.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,34.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,0.0
DDF,INR,standard,40HC,PER_CONTAINER,34.0
DDF,INR,standard,40HC,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,34.0
IMP,INR,standard,45HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,0.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,2000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,34.0
DDF,INR,standard,45HC,PER_CONTAINER,34.0
DDF,INR,standard,45HC,PER_CONTAINER,34.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
ODF,INR,standard,20,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,0.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,35.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,0.0
DHC,INR,standard,20,PER_CONTAINER,34.0
DHC,INR,standard,20,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,34.0
ODF,INR,standard,40,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,0.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,0.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,34.0
DHC,INR,standard,40,PER_CONTAINER,0.0
DHC,INR,standard,40,PER_CONTAINER,34.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
ODF,INR,standard,40HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,0.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,35.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,0.0
DHC,INR,standard,40HC,PER_CONTAINER,35.0
DHC,INR,standard,40HC,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,35.0
ODF,INR,standard,45HC,PER_SHIPMENT,0.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,0.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,2000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,35.0
DHC,INR,standard,45HC,PER_CONTAINER,35.0
DHC,INR,standard,45HC,PER_CONTAINER,35.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
PSS,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,0.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,36.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,0.0
ODF,INR,standard,20,PER_CONTAINER,35.0
ODF,INR,standard,20,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,35.0
PSS,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,0.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,36.75
ODF,INR,standard,40,PER_CONTAINER,0.0
ODF,INR,standard,40,PER_CONTAINER,35.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
PSS,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,0.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,36.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,0.0
ODF,INR,standard,40HC,PER_CONTAINER,36.0
ODF,INR,standard,40HC,PER_CONTAINER,0.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,36.0
PSS,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,0.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,3000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,37.8
ODF,INR,standard,45HC,PER_CONTAINER,36.0
ODF,INR,standard,45HC,PER_CONTAINER,36.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,43.0
LSS,INR,standard,20,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,5.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,37.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,7.15
PSS,INR,standard,20,PER_CONTAINER,36.0
PSS,INR,standard,20,PER_CONTAINER,43.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,36.0
LSS,INR,standard,40,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,5.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,43.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,51.480000000000004
PSS,INR,standard,40,PER_CONTAINER,5.0
PSS,INR,standard,40,PER_CONTAINER,36.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
LSS,INR,standard,40HC,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,5.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,37.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,7.15
PSS,INR,standard,40HC,PER_CONTAINER,37.0
PSS,INR,standard,40HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,37.0
LSS,INR,standard,45HC,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,5.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,3500.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,52.91
PSS,INR,standard,45HC,PER_CONTAINER,37.0
PSS,INR,standard,45HC,PER_CONTAINER,37.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
OHC,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,43.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,38.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,45.15
LSS,INR,standard,20,PER_CONTAINER,37.0
LSS,INR,standard,20,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,37.0
OHC,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,43.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,38.85
LSS,INR,standard,40,PER_CONTAINER,43.0
LSS,INR,standard,40,PER_CONTAINER,37.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,43.0
OHC,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,43.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,38.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,45.15
LSS,INR,standard,40HC,PER_CONTAINER,38.0
LSS,INR,standard,40HC,PER_CONTAINER,43.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,38.0
OHC,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,43.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,22000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,39.9
LSS,INR,standard,45HC,PER_CONTAINER,38.0
LSS,INR,standard,45HC,PER_CONTAINER,38.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
CFO,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,5.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,43.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,5.25
OHC,INR,standard,20,PER_CONTAINER,38.0
OHC,INR,standard,20,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,38.0
CFO,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,5.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,39.9
OHC,INR,standard,40,PER_CONTAINER,5.0
OHC,INR,standard,40,PER_CONTAINER,38.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
CFO,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,5.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,43.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,5.25
OHC,INR,standard,40HC,PER_CONTAINER,43.0
OHC,INR,standard,40HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,43.0
CFO,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,5.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,22000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,45.15
OHC,INR,standard,45HC,PER_CONTAINER,43.0
OHC,INR,standard,45HC,PER_CONTAINER,43.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
REB,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,5.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,25.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,5.25
CFO,INR,standard,20,PER_CONTAINER,43.0
CFO,INR,standard,20,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,43.0
REB,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,5.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,45.15
CFO,INR,standard,40,PER_CONTAINER,5.0
CFO,INR,standard,40,PER_CONTAINER,43.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
REB,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,5.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,25.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,5.25
CFO,INR,standard,40HC,PER_CONTAINER,25.0
CFO,INR,standard,40HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,25.0
REB,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,5.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,22000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,26.25
CFO,INR,standard,45HC,PER_CONTAINER,25.0
CFO,INR,standard,45HC,PER_CONTAINER,25.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
BAS,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,5.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,24.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,5.25
REB,INR,standard,20,PER_CONTAINER,25.0
REB,INR,standard,20,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,25.0
BAS,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,5.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,26.25
REB,INR,standard,40,PER_CONTAINER,5.0
REB,INR,standard,40,PER_CONTAINER,25.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
BAS,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,5.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,24.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,5.25
REB,INR,standard,40HC,PER_CONTAINER,24.0
REB,INR,standard,40HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,24.0
BAS,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,5.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,22000.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,25.2
REB,INR,standard,45HC,PER_CONTAINER,24.0
REB,INR,standard,45HC,PER_CONTAINER,24.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
CFD,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,5.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,23.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,5.25
BAS,INR,standard,20,PER_CONTAINER,24.0
BAS,INR,standard,20,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,24.0
CFD,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,5.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,25.2
BAS,INR,standard,40,PER_CONTAINER,5.0
BAS,INR,standard,40,PER_CONTAINER,24.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
CFD,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,5.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,23.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,5.25
BAS,INR,standard,40HC,PER_CONTAINER,23.0
BAS,INR,standard,40HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,23.0
CFD,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,5.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,370.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,24.15
BAS,INR,standard,45HC,PER_CONTAINER,23.0
BAS,INR,standard,45HC,PER_CONTAINER,23.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
DDF,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,5.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,22.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,5.25
CFD,INR,standard,20,PER_CONTAINER,23.0
CFD,INR,standard,20,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,23.0
DDF,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,5.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,24.15
CFD,INR,standard,40,PER_CONTAINER,5.0
CFD,INR,standard,40,PER_CONTAINER,23.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
DDF,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,5.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,22.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,5.25
CFD,INR,standard,40HC,PER_CONTAINER,22.0
CFD,INR,standard,40HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,22.0
DDF,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,5.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,370.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,23.1
CFD,INR,standard,45HC,PER_CONTAINER,22.0
CFD,INR,standard,45HC,PER_CONTAINER,22.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
DHC,INR,standard,20,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,5.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,21.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,5.25
DDF,INR,standard,20,PER_CONTAINER,22.0
DDF,INR,standard,20,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,22.0
DHC,INR,standard,40,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,5.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,23.1
DDF,INR,standard,40,PER_CONTAINER,5.0
DDF,INR,standard,40,PER_CONTAINER,22.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
DHC,INR,standard,40HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,5.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,21.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,5.25
DDF,INR,standard,40HC,PER_CONTAINER,21.0
DDF,INR,standard,40HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,21.0
DHC,INR,standard,45HC,PER_SHIPMENT,5.0
BILL OF LADING FEE,INR,standard,45HC,PER_SHIPMENT,5.0
THC,INR,standard,45HC,PER_KM_PER_CONTAINER,739.0
DELIVERY,INR,standard,45HC,PER_KM_PER_CONTAINER,22.05
DDF,INR,standard,45HC,PER_CONTAINER,21.0
DDF,INR,standard,45HC,PER_CONTAINER,21.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,20,PER_SHIPMENT,89.0
ODF,INR,standard,20,PER_SHIPMENT,89.0
BILL OF LADING FEE,INR,standard,20,PER_SHIPMENT,5.0
THC,INR,standard,20,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,20,PER_KM_PER_CONTAINER,9.45
DHC,INR,standard,20,PER_CONTAINER,21.0
DHC,INR,standard,20,PER_CONTAINER,89.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40,PER_SHIPMENT,21.0
ODF,INR,standard,40,PER_SHIPMENT,89.0
BILL OF LADING FEE,INR,standard,40,PER_SHIPMENT,5.0
THC,INR,standard,40,PER_KM_PER_CONTAINER,89.0
DELIVERY,INR,standard,40,PER_KM_PER_CONTAINER,39.69
DHC,INR,standard,40,PER_CONTAINER,5.0
DHC,INR,standard,40,PER_CONTAINER,21.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
ODF,INR,standard,40HC,PER_SHIPMENT,89.0
BILL OF LADING FEE,INR,standard,40HC,PER_SHIPMENT,5.0
THC,INR,standard,40HC,PER_KM_PER_CONTAINER,5.0
DELIVERY,INR,standard,40HC,PER_KM_PER_CONTAINER,9.45
DHC,INR,standard,40HC,PER_CONTAINER,5.0
DHC,INR,standard,40HC,PER_CONTAINER,5.0

PORT,INNSA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
ODF,INR,standard,45HC,PER_SHIPMENT,89.0
