Description,Currency,Container_type,Container_size,Unit,Rate/unit
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,80.0
THC (per container),INR,standard,40,PER_CONTAINER,0.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,80.0
DDF,INR,standard,40,PER_CONTAINER,80.0

PORT,CNQSE1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,40.0
BAS,INR,standard,40HC,PER_SHIPMENT,40.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,60.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,80.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,40.0
THC (per container),INR,standard,40HC,PER_CONTAINER,40.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,80.0
DDF,INR,standard,40HC,PER_CONTAINER,40.0

PORT,CNQSE1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,0.0
BAS,INR,standard,45HC,PER_SHIPMENT,40.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,60.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,80.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,45HC,PER_CONTAINER,2000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,80.0
DDF,INR,standard,45HC,PER_CONTAINER,0.0

PORT,CNSGH1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
CFD,INR,standard,20,PER_SHIPMENT,36.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,40.0
BILL OF LADING FEE,INR,standard,20,PER_BL,0.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,40.0
THC (per container),INR,standard,20,PER_CONTAINER,36.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
DHC,INR,standard,20,PER_CONTAINER,40.0

PORT,CNSGH1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,0.0
CFD,INR,standard,40,PER_SHIPMENT,36.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,40.0
BILL OF LADING FEE,INR,standard,40,PER_BL,0.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,40,PER_CONTAINER,0.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,0.0
DHC,INR,standard,40,PER_CONTAINER,0.0

PORT,CNSGH1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,36.0
CFD,INR,standard,40HC,PER_SHIPMENT,36.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,40.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,0.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,36.0
THC (per container),INR,standard,40HC,PER_CONTAINER,36.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
DHC,INR,standard,40HC,PER_CONTAINER,36.0

PORT,CNSGH1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,0.0
CFD,INR,standard,45HC,PER_SHIPMENT,36.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,40.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,0.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,45HC,PER_CONTAINER,2000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,0.0
DHC,INR,standard,45HC,PER_CONTAINER,0.0

PORT,CNNBO1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
DDF,INR,standard,20,PER_SHIPMENT,34.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,36.0
BILL OF LADING FEE,INR,standard,20,PER_BL,0.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,36.0
THC (per container),INR,standard,20,PER_CONTAINER,34.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
IMP,INR,standard,20,PER_CONTAINER,36.0

PORT,CNNBO1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,0.0
DDF,INR,standard,40,PER_SHIPMENT,34.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,36.0
BILL OF LADING FEE,INR,standard,40,PER_BL,0.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,40,PER_CONTAINER,0.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,0.0
IMP,INR,standard,40,PER_CONTAINER,0.0

PORT,CNNBO1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,34.0
DDF,INR,standard,40HC,PER_SHIPMENT,34.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,36.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,0.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,34.0
THC (per container),INR,standard,40HC,PER_CONTAINER,34.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
IMP,INR,standard,40HC,PER_CONTAINER,34.0

PORT,CNNBO1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,0.0
DDF,INR,standard,45HC,PER_SHIPMENT,34.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,36.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,0.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,45HC,PER_CONTAINER,2000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,0.0
IMP,INR,standard,45HC,PER_CONTAINER,0.0

PORT,CNQIN1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
DHC,INR,standard,20,PER_SHIPMENT,35.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,34.0
BILL OF LADING FEE,INR,standard,20,PER_BL,0.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,34.0
THC (per container),INR,standard,20,PER_CONTAINER,35.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
ODF,INR,standard,20,PER_CONTAINER,34.0

PORT,CNQIN1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,0.0
DHC,INR,standard,40,PER_SHIPMENT,35.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,34.0
BILL OF LADING FEE,INR,standard,40,PER_BL,0.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,40,PER_CONTAINER,0.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,0.0
ODF,INR,standard,40,PER_CONTAINER,0.0

PORT,CNQIN1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,35.0
DHC,INR,standard,40HC,PER_SHIPMENT,35.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,34.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,0.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,35.0
THC (per container),INR,standard,40HC,PER_CONTAINER,35.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
ODF,INR,standard,40HC,PER_CONTAINER,35.0

PORT,CNQIN1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,0.0
DHC,INR,standard,45HC,PER_SHIPMENT,35.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,34.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,0.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,45HC,PER_CONTAINER,2000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,0.0
ODF,INR,standard,45HC,PER_CONTAINER,0.0

PORT,TWKEL1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
ODF,INR,standard,20,PER_SHIPMENT,36.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,35.0
BILL OF LADING FEE,INR,standard,20,PER_BL,0.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,35.0
THC (per container),INR,standard,20,PER_CONTAINER,36.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,0.0
PSS,INR,standard,20,PER_CONTAINER,35.0

PORT,TWKEL1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,5.0
ODF,INR,standard,40,PER_SHIPMENT,36.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,35.0
BILL OF LADING FEE,INR,standard,40,PER_BL,0.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,0.0
THC (per container),INR,standard,40,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,0.0
PSS,INR,standard,40,PER_CONTAINER,0.0

PORT,TWKEL1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,36.0
ODF,INR,standard,40HC,PER_SHIPMENT,36.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,35.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,0.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,36.0
THC (per container),INR,standard,40HC,PER_CONTAINER,36.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,0.0
PSS,INR,standard,40HC,PER_CONTAINER,36.0

PORT,TWKEL1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,5.0
ODF,INR,standard,45HC,PER_SHIPMENT,36.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,35.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,0.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,45HC,PER_CONTAINER,3000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,0.0
PSS,INR,standard,45HC,PER_CONTAINER,5.0

PORT,TWTXG1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
PSS,INR,standard,20,PER_SHIPMENT,37.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,36.0
BILL OF LADING FEE,INR,standard,20,PER_BL,5.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,36.0
THC (per container),INR,standard,20,PER_CONTAINER,37.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
LSS,INR,standard,20,PER_CONTAINER,36.0

PORT,TWTXG1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,43.0
PSS,INR,standard,40,PER_SHIPMENT,37.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,36.0
BILL OF LADING FEE,INR,standard,40,PER_BL,5.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40,PER_CONTAINER,43.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
LSS,INR,standard,40,PER_CONTAINER,5.0

PORT,TWTXG1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,37.0
PSS,INR,standard,40HC,PER_SHIPMENT,37.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,36.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,5.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,37.0
THC (per container),INR,standard,40HC,PER_CONTAINER,37.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
LSS,INR,standard,40HC,PER_CONTAINER,37.0

PORT,TWTXG1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,43.0
PSS,INR,standard,45HC,PER_SHIPMENT,37.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,36.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,5.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,43.0
THC (per container),INR,standard,45HC,PER_CONTAINER,3500.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
LSS,INR,standard,45HC,PER_CONTAINER,43.0

PORT,TWKHH1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
LSS,INR,standard,20,PER_SHIPMENT,38.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,37.0
BILL OF LADING FEE,INR,standard,20,PER_BL,43.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,37.0
THC (per container),INR,standard,20,PER_CONTAINER,38.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,43.0
OHC,INR,standard,20,PER_CONTAINER,37.0

PORT,TWKHH1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,5.0
LSS,INR,standard,40,PER_SHIPMENT,38.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,37.0
BILL OF LADING FEE,INR,standard,40,PER_BL,43.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,43.0
THC (per container),INR,standard,40,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,43.0
OHC,INR,standard,40,PER_CONTAINER,43.0

PORT,TWKHH1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,38.0
LSS,INR,standard,40HC,PER_SHIPMENT,38.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,37.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,43.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,38.0
THC (per container),INR,standard,40HC,PER_CONTAINER,38.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,43.0
OHC,INR,standard,40HC,PER_CONTAINER,38.0

PORT,TWKHH1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,5.0
LSS,INR,standard,45HC,PER_SHIPMENT,38.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,37.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,43.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,45HC,PER_CONTAINER,22000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,43.0
OHC,INR,standard,45HC,PER_CONTAINER,5.0

PORT,SGSIN1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
OHC,INR,standard,20,PER_SHIPMENT,43.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,38.0
BILL OF LADING FEE,INR,standard,20,PER_BL,5.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,38.0
THC (per container),INR,standard,20,PER_CONTAINER,43.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
CFO,INR,standard,20,PER_CONTAINER,38.0

PORT,SGSIN1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,5.0
OHC,INR,standard,40,PER_SHIPMENT,43.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,38.0
BILL OF LADING FEE,INR,standard,40,PER_BL,5.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
CFO,INR,standard,40,PER_CONTAINER,5.0

PORT,SGSIN1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,43.0
OHC,INR,standard,40HC,PER_SHIPMENT,43.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,38.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,5.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,43.0
THC (per container),INR,standard,40HC,PER_CONTAINER,43.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
CFO,INR,standard,40HC,PER_CONTAINER,43.0

PORT,SGSIN1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,5.0
OHC,INR,standard,45HC,PER_SHIPMENT,43.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,38.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,5.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,45HC,PER_CONTAINER,22000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
CFO,INR,standard,45HC,PER_CONTAINER,5.0

PORT,KRPUS1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
CFO,INR,standard,20,PER_SHIPMENT,25.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,20,PER_BL,5.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,43.0
THC (per container),INR,standard,20,PER_CONTAINER,25.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
REB,INR,standard,20,PER_CONTAINER,43.0

PORT,KRPUS1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,5.0
CFO,INR,standard,40,PER_SHIPMENT,25.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,40,PER_BL,5.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
REB,INR,standard,40,PER_CONTAINER,5.0

PORT,KRPUS1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,25.0
CFO,INR,standard,40HC,PER_SHIPMENT,25.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,5.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,25.0
THC (per container),INR,standard,40HC,PER_CONTAINER,25.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
REB,INR,standard,40HC,PER_CONTAINER,25.0

PORT,KRPUS1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,5.0
CFO,INR,standard,45HC,PER_SHIPMENT,25.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,43.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,5.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,45HC,PER_CONTAINER,22000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
REB,INR,standard,45HC,PER_CONTAINER,5.0

PORT,ITGOA1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
REB,INR,standard,20,PER_SHIPMENT,24.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,25.0
BILL OF LADING FEE,INR,standard,20,PER_BL,5.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,25.0
THC (per container),INR,standard,20,PER_CONTAINER,24.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
BAS,INR,standard,20,PER_CONTAINER,25.0

PORT,ITGOA1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,5.0
REB,INR,standard,40,PER_SHIPMENT,24.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,25.0
BILL OF LADING FEE,INR,standard,40,PER_BL,5.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
BAS,INR,standard,40,PER_CONTAINER,5.0

PORT,ITGOA1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,24.0
REB,INR,standard,40HC,PER_SHIPMENT,24.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,25.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,5.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,24.0
THC (per container),INR,standard,40HC,PER_CONTAINER,24.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
BAS,INR,standard,40HC,PER_CONTAINER,24.0

PORT,ITGOA1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,5.0
REB,INR,standard,45HC,PER_SHIPMENT,24.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,25.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,5.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,45HC,PER_CONTAINER,22000.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
BAS,INR,standard,45HC,PER_CONTAINER,5.0

PORT,DEHAM1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
BAS,INR,standard,20,PER_SHIPMENT,23.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,24.0
BILL OF LADING FEE,INR,standard,20,PER_BL,5.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,24.0
THC (per container),INR,standard,20,PER_CONTAINER,23.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
CFD,INR,standard,20,PER_CONTAINER,24.0

PORT,DEHAM1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,5.0
BAS,INR,standard,40,PER_SHIPMENT,23.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,24.0
BILL OF LADING FEE,INR,standard,40,PER_BL,5.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
CFD,INR,standard,40,PER_CONTAINER,5.0

PORT,DEHAM1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,23.0
BAS,INR,standard,40HC,PER_SHIPMENT,23.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,24.0
BILL OF LADING FEE,INR,standard,40HC,PER_BL,5.0
PICK UP (Per km),INR,standard,40HC,PER_KM_PER_CONTAINER,23.0
THC (per container),INR,standard,40HC,PER_CONTAINER,23.0
HAZARDOUS DOCS FEE,INR,standard,40HC,PER_SHIPMENT,5.0
CFD,INR,standard,40HC,PER_CONTAINER,23.0

PORT,DEHAM1
HANDLING / DOCS FEE,INR,standard,45HC,PER_CONTAINER,5.0
BAS,INR,standard,45HC,PER_SHIPMENT,23.0
AMS / AES Fee,INR,standard,45HC,PER_SHIPMENT,24.0
BILL OF LADING FEE,INR,standard,45HC,PER_BL,5.0
PICK UP (Per km),INR,standard,45HC,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,45HC,PER_CONTAINER,370.0
HAZARDOUS DOCS FEE,INR,standard,45HC,PER_SHIPMENT,5.0
CFD,INR,standard,45HC,PER_CONTAINER,5.0

PORT,THBKK1
HANDLING / DOCS FEE,INR,standard,20,PER_CONTAINER,0.0
CFD,INR,standard,20,PER_SHIPMENT,22.0
AMS / AES Fee,INR,standard,20,PER_SHIPMENT,23.0
BILL OF LADING FEE,INR,standard,20,PER_BL,5.0
PICK UP (Per km),INR,standard,20,PER_KM_PER_CONTAINER,23.0
THC (per container),INR,standard,20,PER_CONTAINER,22.0
HAZARDOUS DOCS FEE,INR,standard,20,PER_SHIPMENT,5.0
DDF,INR,standard,20,PER_CONTAINER,23.0

PORT,THBKK1
HANDLING / DOCS FEE,INR,standard,40,PER_CONTAINER,5.0
CFD,INR,standard,40,PER_SHIPMENT,22.0
AMS / AES Fee,INR,standard,40,PER_SHIPMENT,23.0
BILL OF LADING FEE,INR,standard,40,PER_BL,5.0
PICK UP (Per km),INR,standard,40,PER_KM_PER_CONTAINER,5.0
THC (per container),INR,standard,40,PER_CONTAINER,5.0
HAZARDOUS DOCS FEE,INR,standard,40,PER_SHIPMENT,5.0
DDF,INR,standard,40,PER_CONTAINER,5.0

PORT,THBKK1
HANDLING / DOCS FEE,INR,standard,40HC,PER_CONTAINER,22.0
CFD,INR,standard,40HC,PER_SHIPMENT,22.0
AMS / AES Fee,INR,standard,40HC,PER_SHIPMENT,23.0
